question,label
북문 치킨집 추천해줘,restaurant
쪽문 치킨집 추천해줘,restaurant
학교 치킨집 추천해줘,restaurant
북문 근처 치킨집 추천해줘,restaurant
쪽문 근처 치킨집 추천해줘,restaurant
학교 근처 치킨집 추천해줘,restaurant
북문 근처에 치킨집 추천해줘,restaurant
쪽문 근처에 치킨집 추천해줘,restaurant
학교 근처 치킨집 추천해줘,restaurant
북문 주변 치킨집 추천해줘,restaurant
쪽문 주변 치킨집 추천해줘,restaurant
학교 주변 치킨집 추천해줘,restaurant
북문 주변에 치킨집 추천해줘,restaurant
쪽문 주변에 치킨집 추천해줘,restaurant
학교 주변에 치킨집 추천해줘,restaurant
북문 왔는데 치킨집 추천해줘,restaurant
쪽문 왔는데 치킨집 추천해줘,restaurant
학교 왔는데 치킨집 추천해줘,restaurant
북문 주위에 치킨집 추천해줘,restaurant
쪽문 주위에 치킨집 추천해줘,restaurant
학교 주위에 치킨집 추천해줘,restaurant
오늘 북문 왔는데 치킨집 추천해줘,restaurant
오늘 쪽문 왔는데 치킨집 추천해줘,restaurant
오늘 학교 왔는데 치킨집 추천해줘,restaurant
오랜만에 북문 왔는데 치킨집 추천해줘,restaurant
오랜만에 쪽문 왔는데 치킨집 추천해줘,restaurant
오랜만에 학교 왔는데 치킨집 추천해줘,restaurant
북문 치킨 맛있는 곳 추천해 줄래,restaurant
쪽문 치킨 맛있는 곳 추천해 줄래,restaurant
학교 치킨 맛있는 곳 추천해 줄래,restaurant
북문 근처 치킨 맛있는 곳 추천해 줄래,restaurant
쪽문 근처 치킨 맛있는 곳 추천해 줄래,restaurant
학교 근처 치킨 맛있는 곳 추천해 줄래,restaurant
북문 근처에 치킨 맛있는 곳 추천해 줄래,restaurant
쪽문 근처에 치킨 맛있는 곳 추천해 줄래,restaurant
학교 근처 치킨 맛있는 곳 추천해 줄래,restaurant
북문 주변 치킨 맛있는 곳 추천해 줄래,restaurant
쪽문 주변 치킨 맛있는 곳 추천해 줄래,restaurant
학교 주변 치킨 맛있는 곳 추천해 줄래,restaurant
북문 주변에 치킨 맛있는 곳 추천해 줄래,restaurant
쪽문 주변에 치킨 맛있는 곳 추천해 줄래,restaurant
학교 주변에 치킨 맛있는 곳 추천해 줄래,restaurant
북문 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
쪽문 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
학교 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
북문 주위에 치킨 맛있는 곳 추천해 줄래,restaurant
쪽문 주위에 치킨 맛있는 곳 추천해 줄래,restaurant
학교 주위에 치킨 맛있는 곳 추천해 줄래,restaurant
오늘 북문 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
오늘 쪽문 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
오늘 학교 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
오랜만에 북문 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
오랜만에 쪽문 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
오랜만에 학교 왔는데 치킨 맛있는 곳 추천해 줄래,restaurant
북문 통닭집 추천해줘,restaurant
쪽문 통닭집 추천해줘,restaurant
학교 통닭집 추천해줘,restaurant
북문 근처 통닭집 추천해줘,restaurant
쪽문 근처 통닭집 추천해줘,restaurant
학교 근처 통닭집 추천해줘,restaurant
북문 근처에 통닭집 추천해줘,restaurant
쪽문 근처에 통닭집 추천해줘,restaurant
학교 근처 통닭집 추천해줘,restaurant
북문 주변 통닭집 추천해줘,restaurant
쪽문 주변 통닭집 추천해줘,restaurant
학교 주변 통닭집 추천해줘,restaurant
북문 주변에 통닭집 추천해줘,restaurant
쪽문 주변에 통닭집 추천해줘,restaurant
학교 주변에 통닭집 추천해줘,restaurant
북문 왔는데 통닭집 추천해줘,restaurant
쪽문 왔는데 통닭집 추천해줘,restaurant
학교 왔는데 통닭집 추천해줘,restaurant
북문 주위에 통닭집 추천해줘,restaurant
쪽문 주위에 통닭집 추천해줘,restaurant
